ID	CON	QUEUE
4	219	9299
1	219	9957
2	218	9737
3	204	9535
5	220	8771
6	204	8710
7	251	8679
8	203	8618
12	220	15672
9	204	16359
10	219	16078
11	204	15923
13	203	15703
14	219	15580
15	220	15501
16	204	15502
20	204	22519
18	220	23036
17	204	23240
19	220	22754
21	220	22472
22	204	22317
23	219	22193
24	204	22084
27	204	29398
25	204	29993
28	204	29178
26	204	29711
29	204	29056
30	203	28791
31	204	28634
32	204	28555
35	204	36137
33	204	36669
34	204	36371
36	203	35918
37	219	35669
38	220	35372
39	203	35186
40	203	35123
44	207	42150
41	208	42777
43	204	42354
42	205	42576
45	204	41947
46	220	41744
47	204	41590
