ID,CONEXION,COLA,TOTAL
7,1707,18183,29045
3,1160,19450,29349
6,1419,19128,30488
10,2169,19186,30730
2,946,35427,46972
1,902,36821,48512
4,1303,37063,48997
9,1943,37742,49428
5,1519,48739,60899
8,1868,50270,62420
